split,method,n,exact,token_f1,hallucination_proxy
dev_first529,tfidf_direct_template,529,0.022684310018903593,0.4281208246469721,0.43856332703213613
dev_first529,tfidf_evidence_rerank,529,0.003780718336483932,0.42127702217183355,0.5085066162570888
dev_first529,tfidf_multiobjective,529,0.015122873345935728,0.42282115580706203,0.45179584120982985
dev_first529,complexity_gate_23,529,0.022684310018903593,0.43548239252087123,0.4669187145557656
dev_first529,complexity_gate_3,529,0.022684310018903593,0.43514579991968105,0.44801512287334594
dev_first529,complexity_gate_3_low_uncertainty,529,0.022684310018903593,0.4339487554955945,0.44612476370510395
dev_first529,complexity_gate_3_no_contradiction,529,0.022684310018903593,0.4315356292704467,0.444234404536862
dev_first529,class_gate_dev_positive,529,0.020793950850661626,0.4415754837637688,0.43289224952741023
dev_first529,complexity_or_class_gate,529,0.020793950850661626,0.4450862454306287,0.444234404536862
dev_first529,bucket_gate_dev_policy,529,0.020793950850661626,0.44923838316296355,0.42533081285444235
eval_rest,tfidf_direct_template,15426,0.017956696486451446,0.4160038212873599,0.44288862958641256
eval_rest,tfidf_evidence_rerank,15426,0.007065992480228186,0.4126510836359955,0.5112148321016465
eval_rest,tfidf_multiobjective,15426,0.009788668481784,0.410268472206514,0.4561778814987683
eval_rest,complexity_gate_23,15426,0.01750291715285881,0.4248152384272195,0.470828471411902
eval_rest,complexity_gate_3,15426,0.01834565020095942,0.42396502024812377,0.4526124724491119
eval_rest,complexity_gate_3_low_uncertainty,15426,0.01834565020095942,0.42353713484298444,0.4518993906391806
eval_rest,complexity_gate_3_no_contradiction,15426,0.018151173343705432,0.4209569090206726,0.44684299235057695
eval_rest,class_gate_dev_positive,15426,0.016725009723842863,0.42344365586055477,0.4567613120705303
eval_rest,complexity_or_class_gate,15426,0.0166601841047582,0.4263365631383023,0.46486451445611304
eval_rest,bucket_gate_dev_policy,15426,0.01724361467652016,0.4267829611832511,0.45915985997666275
full,tfidf_direct_template,15955,0.01811344406142275,0.41640556962814557,0.4427452209338765
full,tfidf_evidence_rerank,15955,0.006957066750235036,0.41293708310233573,0.5111250391726732
full,tfidf_multiobjective,15955,0.009965528047633971,0.410684665852687,0.45603259166405513
full,complexity_gate_23,15955,0.017674710122218742,0.4251689159274102,0.47069884048887495
full,complexity_gate_3,15955,0.018489501723597618,0.42433572738985076,0.45246004387339395
full,complexity_gate_3_low_uncertainty,15955,0.018489501723597618,0.4238823399401471,0.4517079285490442
full,complexity_gate_3_no_contradiction,15955,0.018301472892510186,0.42130765443039553,0.4467565026637418
full,class_gate_dev_positive,15955,0.016859918520839862,0.42404483022350065,0.455969915387026
full,complexity_or_class_gate,15955,0.01679724224381072,0.4269582229272488,0.4641805076778439
full,bucket_gate_dev_policy,15955,0.01736132873707302,0.4275274875528699,0.4580382325289878
